스위스,2551,877,2453,1276,2293,959,2227,764,2176,751,2098,-,2102,948,2034,737,2033,787,2078,969,2155,741,2043,368,2988,455,2156,534,2048,677,1923,687,1771,617,1628,771,1615,614,1717,615
우크라이나,7224,5772,8818,11670,2754,9178,3073,11046,5779,-,5592,3719,5890,3705,6163,-,5697,3832,4814,4002,5312,3874,5253,4061,4955,3405,5412,3635,4813,3319,4497,3014,4095,2813,4047,2590,3968,2469,3852,2255
영국,32747,8253,32081,7555,31531,8636,31624,9755,29954,10541,27988,10159,25745,7907,24999,5930,23379,5360,22465,5428,21929,5594,22259,7173,23235,6864,22938,5235,23040,4986,22801,5464,22059,5602,22072,6311,20941,5982,19250,5948
유고슬라비아,848,3,1474,42,1641,132,1039,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
몬테네그로,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,917,-,-,-,159,264,103,406,78,291,23,121,13,14,23,10,10,8,10,-,3,11,16,7
세르비아,-,-,-,-,-,-,-,-,1167,175,981,265,705,173,516,278,623,290,359,411,329,427,229,179,224,167,221,136,212,105,191,86,213,68,184,47,174,44,177,59
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
알제리,159,80,145,91,334,200,326,279,392,305,524,443,669,479,849,214,-,246,-,618,806,1076,897,1546,900,352,840,183,813,281,805,353,672,383,743,256,673,162,638,140
앙골라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,-,110,-
보츠와나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,14,1,9,3,9,-,8,4,7,3,7,4,3,-,2,-
부르키나파소,2,-,-,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부룬디,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,13,-,6,-,27,-,28,-,-
카보베르데,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2,-,4,1,1,-
코트디부아르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
지부티,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,4,-,-,-,-,-,-,-,-,-,-,-
이집트,1615,453,1387,430,1415,757,1119,638,694,325,1436,147,1966,130,2105,300,2130,364,1942,321,2230,321,2209,483,2211,634,2057,465,2136,415,2055,472,2178,450,2279,581,2255,690,2183,747
에티오피아,12,4,15,16,13,14,9,2,4,1,5,9,10,6,37,13,-,-,-,-,-,-,38,6,14,2,25,2,24,6,50,6,36,11,53,6,62,10,-,-
감비아,-,1,-,3,-,8,-,7,-,3,-,2,-,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,4,4,-,-,16,16
가나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,25,26,5,52,9,-,-
케냐,-,-,-,-,72,7,95,20,84,15,93,48,82,29,132,17,152,42,171,87,197,54,257,59,259,76,241,71,207,53,193,24,203,26,178,43,286,26,335,28
마다가스카르,55,-,38,51,29,15,23,48,38,26,42,32,44,28,76,25,77,34,44,27,43,55,61,41,44,44,51,40,34,24,19,23,36,19,51,23,46,31,30,15
말라위,20,1,-,-,-,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,1,1,3,1,4,4,4,3,5,-,6,1,4,7,-,-,-,-,-,-
말리,-,-,4,-,4,-,-,-,-,-,4,-,1,-,3,-,1,-,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
모리셔스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,2,24,-,20,3,16,8,20,2,18,6,20,5,21,9,21,4,38,2,19,4,29,7,27,4
모로코,104,-,-,-,528,313,-,-,561,1219,660,556,910,699,932,747,1011,969,991,-,1034,808,1049,979,1040,979,1144,937,1097,-,1021,-,1303,352,2224,413,2537,600,2730,357
모잠비크,8,6,1,1,9,9,16,15,4,5,14,14,18,21,44,40,16,-,24,-,40,-,23,-,40,-,43,43,60,60,54,54,40,35,50,-,47,-,47,-
나미비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,32,28,25,16,36,4,20,30
나이지리아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,811,595,718,528,919,645,-,-,-,-,235,886,280,552,338,842,-,-
